"2005.1.4"		0.98	-0.15		0.13		"1/4"
"2005.1.11"		0.77	-0.085		0.08		"1/11"
"2005.1.21"		0.72	-0.098		0.12		"1/21"
"2005.2.1"		0.65	-0.134		0.11		"2/1"
"2005.2.14"		0.53	-0.13		0.084		"2/14"
"2005.2.21"		0.82	-0.087		0.13		"2/21"
"2005.3.1"		1.06	-0.12		0.07		"3/1"
"2005.3.11"		1.16	-0.099		0.091		"3/11"
"2005.3.22"		1.49	-0.121		0.112		"3/22"
"2005.4.1"		1.06	-0.096		0.103		"4/1"
"2005.4.11"		0.94	-0.11		0.131		"4/11"
"2005.4.21"		0.80	-0.0982		0.15		"4/21"
"2005.5.2"		0.81	-0.101		0.119		"5/2"
"2005.5.11"		0.79	-0.11		0.086		"5/11"
"2005.5.23"		0.74	-0.145		0.064		"5/23"
"2005.6.1"		0.65	-0.090		0.087		"6/1"
"2005.6.13"		0.79	-0.112		0.12		"6/13"
"2005.6.21"		0.62	-0.087		0.131		"6/21"
